word,AoA
amide,13.0
amidships,13.0
amidst,8.0
amir,14.0
amiss,10.0
amitosis,14.0
amity,10.0
ammeter,10.0
ammo,8.0
ammonia,8.0
ammunition,6.0
amnesia,6.0
amnesty,14.0
amoeba,10.0
among,4.0
amongst,6.0
amontillado,14.0
amoral,12.0
amorous,12.0
amorphous,13.0
amortization,14.0
amortize,12.0
amount,2.0
amour,12.0
amp,8.0
amperage,8.0
ampere,8.0
ampersand,14.0
amphetamine,13.0
amphibian,8.0
amphibious,12.0
amphitheater,12.0
amphora,14.0
ample,8.0
amplification,10.0
amplifier,6.0
amplify,8.0
amplitude,12.0
amply,12.0
ampoule,14.0
amputate,8.0
amputation,8.0
amputee,10.0
Amtrak,8.0
amuck,14.0
amulet,13.0
amuse,6.0
amusement,4.0
amylase,14.0
amylopsin,14.0
an,2.0
Anabaptist,14.0
anabasis,14.0
anabolism,12.0
anachronism,14.0
anachronistic,14.0
anacidity,13.0
anaconda,10.0
anaerobic,12.0
anaesthesia,10.0
anaesthetic,10.0
anagram,13.0
anal,12.0
analgesia,14.0
analgesic,10.0
analogize,13.0
analogous,13.0
analogue,13.0
analogy,14.0
analysis,8.0
analyst,8.0
analytic,8.0
analytics,12.0
analyze,6.0
anapest,14.0
anarchic,13.0
anarchism,12.0
anarchist,12.0
anarchy,14.0
anathema,14.0
anathematize,14.0
anatomic,12.0
anatomical,12.0
anatomist,13.0
anatomize,12.0
anatomy,6.0
ancestor,2.0
ancestors,4.0
ancestral,8.0
ancestry,8.0
anchor,4.0
anchorage,8.0
anchorite,14.0
anchorman,10.0
anchors,6.0
anchovy,14.0
ancient,4.0
ancillary,13.0
and,2.0
andante,12.0
andantino,14.0
andiron,12.0
androgen,14.0
androgynous,14.0
anecdote,12.0
anemia,8.0
anemic,8.0
anemograph,14.0
anemometer,14.0
anemone,14.0
anent,13.0
aneroid,13.0
anesthetic,10.0
anesthetize,12.0
aneurysm,14.0
anew,10.0
angel,2.0
angelfish,6.0
angelic,10.0
angelus,14.0
anger,2.0
angina,14.0
angiosperm,12.0
angle,6.0
angler,10.0
angleworm,8.0
anglicize,14.0
angling,10.0
Anglomania,14.0
Anglophobia,14.0
Angora,10.0
angostura,12.0
angrily,2.0
angry,2.0
angstrom,10.0
anguish,13.0
angular,8.0
angularity,12.0
Angus,12.0
anhydrous,13.0
anile,12.0
aniline,14.0
animadversion,14.0
animadvert,14.0
animal,2.0
animalcule,13.0
animate,14.0
animation,14.0
animism,12.0
animosity,13.0
animus,13.0
anion,14.0
anise,13.0
aniseed,14.0
ankle,2.0
anklets,6.0
ankylosis,14.0
annalist,13.0
annals,13.0
anneal,14.0
annelid,14.0
annex,6.0
annexation,8.0
annihilate,10.0
annihilation,10.0
anniversary,4.0
annotate,13.0
annotation,12.0
announce,4.0
announcee,2.0
announcement,2.0
announcer,2.0
annoy,6.0
annoyance,8.0
annual,4.0
annually,4.0
annuals,13.0
annuitant,13.0
annuity,13.0
annul,13.0
annular,14.0
annum,14.0
annunciation,12.0
anode,12.0
anodyne,13.0
anoint,8.0
anomalous,13.0
anomaly,14.0
anon,14.0
anonym,14.0
anonymous,10.0
anopheles,13.0
another,2.0
anoxia,13.0
Anschluss,14.0
anserine,14.0
answer,2.0
answerable,10.0
ant,2.0
antacid,12.0
antagonism,10.0
antagonist,10.0
antagonistic,12.0
antagonize,12.0
Antarctic,10.0
Antarctica,6.0
antbear,13.0
ante,12.0
anteater,4.0
antecedent,13.0
antechamber,13.0
antedate,13.0
antediluvian,14.0
antelope,4.0
antenna,4.0
antennule,14.0
antepenult,14.0
anterior,14.0
anteroom,10.0
anthem,6.0
anther,12.0
anthologist,12.0
anthology,10.0
anthracite,8.0
anthrax,14.0
anthropoid,12.0
anthropology,6.0
anthropometry,14.0
anthropomorphic,14.0
anthropomorphism,14.0
anti,6.0
antibiotic,10.0
antibodies,10.0
antic,8.0
Antichrist,12.0
anticipate,10.0
anticipation,10.0
anticlerical,13.0
anticlimax,14.0
anticline,13.0
anticoagulant,12.0
antics,8.0
anticyclone,14.0
antidote,10.0
antifreeze,6.0
antigen,14.0
antihistamine,8.0
antiknock,12.0
antilogy,13.0
antimacassar,14.0
antimony,14.0
antinode,14.0
antinomy,14.0
antipasto,13.0
antipathetic,13.0
antipathy,13.0
antiphons,14.0
antiphony,14.0
antipodal,14.0
antipodes,13.0
antipyretic,14.0
antiquarian,14.0
antiquary,14.0
antiquated,10.0
antique,6.0
antiquing,12.0
antiquity,12.0
antirachitic,13.0
antiseptic,8.0
antislavery,4.0
antisocial,8.0
antithesis,14.0
antithetic,13.0
antitoxin,8.0
antitrust,12.0
antler,4.0
antonym,6.0
antonyms,6.0
antrum,14.0
anus,12.0
anvil,8.0
anxiety,8.0
anxious,4.0
any,2.0
anybody,4.0
anyhow,2.0
anyone,2.0
anything,2.0
anyway,2.0
anywhere,4.0
anywise,12.0
Anzac,12.0
aorist,14.0
aorta,10.0
apace,14.0
apache,12.0
apart,4.0
apartheid,14.0
apartment,2.0
apathetic,12.0
apathy,10.0
ape,2.0
apelike,4.0
apercu,13.0
aperient,14.0
aperitif,14.0
aperture,13.0
apetalous,14.0
apex,12.0
aphasia,14.0
aphelion,14.0
aphid,14.0
aphorism,14.0
apiarist,14.0
apiary,14.0
apices,14.0
apiculture,14.0
apiece,4.0
aping,8.0
apish,13.0
aplenty,2.0
aplomb,14.0
apnea,14.0
apocalypse,14.0
apocalyptic,14.0
apocope,14.0
apocryphal,14.0
apod,14.0
apodal,13.0
apogee,13.0
apologetic,6.0
apologetics,14.0
apologia,14.0
apologist,14.0
apologize,4.0
apologue,13.0
apology,4.0
apoplectic,13.0
apoplexy,14.0
apostasy,13.0
apostate,13.0
apostle,8.0
apostolic,12.0
apostolicity,12.0
apostrophe,8.0
apostrophize,13.0
apothecary,12.0
apothegm,13.0
apotheosis,14.0
appall,10.0
appanage,14.0
apparatus,10.0
apparel,10.0
apparent,6.0
apparently,8.0
apparition,13.0
appeal,4.0
appealingly,13.0
appear,2.0
appearance,4.0
appease,12.0
appeasement,12.0
appellant,13.0
appellate,13.0
appellation,14.0
appellative,13.0
append,12.0
appendage,10.0
appendectomy,10.0
appendices,12.0
appendicitis,2.0
appendix,4.0
apperceive,14.0
apperception,12.0
appertains,12.0
appetite,4.0
appetizer,6.0
appetizing,6.0
applaud,4.0
applause,2.0
apple,2.0
applejack,12.0
applesauce,2.0
appliance,4.0
applicable,10.0
applicant,8.0
application,6.0
applicator,8.0
applied,8.0
applies,8.0
applique,13.0
apply,6.0
appoggiatura,14.0
appoint,6.0
appointed,13.0
appointee,8.0
appointive,10.0
appointment,4.0
apportion,12.0
apportionment,13.0
apposite,14.0
apposition,14.0
appositive,13.0
appraisal,12.0
appraise,8.0
appreciable,13.0
appreciate,6.0
appreciation,8.0
appreciative,6.0
apprehend,8.0
apprehension,12.0
apprehensive,14.0
apprentice,8.0
apprenticeship,8.0
apprise,14.0
approach,4.0
approachable,6.0
approbation,14.0
appropriate,8.0
appropriation,12.0
approval,6.0
approve,6.0
approvingly,8.0
approximate,8.0
approximately,6.0
approximation,6.0
appurtenance,14.0
appurtenant,14.0
apricot,4.0
April,2.0
apron,2.0
apropos,13.0
apse,14.0
apt,6.0
apterous,14.0
apteryx,14.0
aptitude,10.0
aptly,13.0
aptness,8.0
aqua,6.0
aqualung,8.0
aquamarine,13.0
aquaplane,14.0
aquarium,2.0
Aquarius,12.0
aquatic,10.0
aquatint,13.0
aqueduct,10.0
aqueous,13.0
aquiline,14.0
Arab,6.0
arabesque,12.0
Arabia,12.0
Arabic,12.0
arable,10.0
arachnid,14.0
arachnoid,13.0
Ararat,13.0
Arbeit,12.0
arbiter,12.0
arbitrage,14.0
arbitrament,13.0
arbitrary,13.0
arbitrate,13.0
arbitration,12.0
arbitrator,12.0
arbor,12.0
arboreal,12.0
arboreous,12.0
arboretum,14.0
arbutus,13.0
arc,8.0
arcade,13.0
arcadian,12.0
arcane,12.0
arcanum,14.0
arch,6.0
archaeological,12.0
archaeology,8.0
archaeopteryx,13.0
archaic,14.0
archaism,12.0
archangel,14.0
archbishop,6.0
archdeacon,10.0
archdiocese,13.0
archduke,8.0
arched,6.0
archenemy,12.0
archer,6.0
archery,8.0
archetype,14.0
archfiend,12.0
archipelago,14.0
architect,6.0
architectural,8.0
architecture,4.0
architrave,12.0
archive,12.0
archly,14.0
archon,14.0
archway,4.0
arctic,4.0
arctics,12.0
Arcturus,13.0
ardent,13.0
ardor,14.0
arduous,13.0
are,2.0
area,2.0
areaway,10.0
arena,4.0
arete,13.0
argent,13.0
argon,13.0
argosy,14.0
argot,13.0
argue,4.0
argufy,14.0
argument,4.0
argumentative,8.0
Argus,13.0
argyrol,13.0
aria,14.0
arid,8.0
aridity,12.0
aright,13.0
arise,2.0
arisen,6.0
aristocracy,10.0
aristocrat,8.0
aristocratic,10.0
arithmetic,2.0
arithmetical,6.0
ark,4.0
arm,2.0
armada,10.0
armadillo,8.0
Armageddon,12.0
armament,10.0
armamentarium,13.0
armature,13.0
armchair,2.0
armful,4.0
armhole,4.0
armistice,8.0
armlet,12.0
armload,4.0
armor,4.0
armored,4.0
armorer,12.0
armorial,12.0
armory,6.0
armpit,8.0
arms,4.0
army,2.0
arnica,14.0
aroma,8.0
aromatic,12.0
arose,4.0
around,2.0
arouse,6.0
arpeggio,14.0
arquebus,13.0
arraign,13.0
arraignment,12.0
arrange,2.0
arrangement,4.0
arrant,13.0
arras,13.0
array,10.0
arrayed,12.0
arrearage,14.0
arrears,14.0
arrest,4.0
arresting,12.0
arrhythmia,14.0
arrival,4.0
arrive,2.0
arrivederci,14.0
arriving,4.0
arrogance,10.0
arrogant,10.0
arrogate,14.0
arrondissement,12.0
arrow,2.0
arrowhead,2.0
arrowroot,12.0
arroyo,12.0
arsenal,12.0
arsenate,13.0
arsenic,12.0
arsenious,12.0
arson,10.0
arsonist,10.0
art,2.0
arterial,10.0
arteriosclerosis,8.0
artery,6.0
artesian,13.0
artful,10.0
arthritis,6.0
arthropod,14.0
arthrosclerosis,12.0
artichoke,13.0
article,4.0
articular,13.0
articulate,12.0
articulation,12.0
artifact,12.0
artifice,14.0
artificer,13.0
artificial,4.0
artillery,6.0
artisan,10.0
artist,2.0
artiste,12.0
artistic,4.0
artistry,8.0
artless,13.0
arty,12.0
as,2.0
asafetida,13.0
asana,13.0
asbestos,8.0
ascend,8.0
ascendancy,12.0
ascendant,12.0
ascension,12.0
ascent,12.0
ascertain,8.0
ascetic,14.0
asceticism,13.0
ascot,14.0
ascribe,13.0
ascription,14.0
aseptic,14.0
asexual,12.0
ash,2.0
ashamed,4.0
ashcan,13.0
ashen,12.0
ashes,4.0
ashlar,12.0
ashman,6.0
ashore,4.0
ashtray,4.0
ashy,10.0
Asia,4.0
aside,4.0
asinine,12.0
asininity,13.0
ask,2.0
askance,13.0
askew,12.0
aslant,12.0
asleep,2.0
asocial,12.0
asp,14.0
asparagus,6.0
asparkle,4.0
aspect,8.0
aspen,13.0
asperity,14.0
asperse,12.0
aspersion,12.0
asphalt,8.0
asphodel,13.0
asphyxiate,10.0
asphyxiation,10.0
aspic,14.0
aspidistra,14.0
aspirant,12.0
aspirate,12.0
aspiration,8.0
aspire,8.0
aspirey,12.0
aspirin,4.0
asquint,12.0
ass,2.0
assail,12.0
assailable,12.0
assailant,10.0
assassin,6.0
assassinate,6.0
assassination,6.0
assault,6.0
assay,12.0
assemblage,8.0
assemble,6.0
assembly,6.0
assemblyman,13.0
assent,13.0
assert,12.0
assertion,12.0
assertive,12.0
assess,10.0
assessment,8.0
assessor,10.0
assets,10.0
asseverate,14.0
asseveration,14.0
assiduity,14.0
assiduous,14.0
assign,6.0
assignation,13.0
assignee,12.0
assignment,4.0
assimilate,14.0
assimilation,13.0
assist,6.0
assistance,4.0
assistant,4.0
assizes,13.0
associate,6.0
association,6.0
associative,12.0
assonance,12.0
assort,8.0
assorted,6.0
assortment,4.0
assuage,14.0
assume,6.0
assumption,8.0
assurance,8.0
assure,6.0
assured,6.0
assuredly,10.0
astatic,13.0
aster,6.0
asterisk,12.0
astern,10.0
asteroid,6.0
asthenia,13.0
asthma,8.0
astigmatism,12.0
astir,8.0
astonish,6.0
astonishment,4.0
astound,8.0
astraddle,10.0
astrakhan,12.0
astral,12.0
astray,6.0
astride,12.0
astringent,13.0
astrobiology,10.0
astrogation,12.0
astrolabe,13.0
astrologer,12.0
astrology,8.0
astrometry,6.0
astronaut,2.0
astronautics,10.0
astronomical,10.0
astronomy,4.0
astrophysics,10.0
astute,12.0
asunder,13.0
asylum,8.0
asymmetrical,12.0
at,2.0
Atabrine,12.0
atavism,14.0
atavistic,13.0
ataxia,14.0
ataxic,12.0
ate,2.0
atelier,13.0
atheism,12.0
atheist,12.0
athenaeum,12.0
atheroma,12.0
atherosclerosis,14.0
athirst,12.0
athlete,4.0
athletic,4.0
athletics,4.0
athwart,14.0
atilt,8.0
atingle,8.0
atlas,2.0
atmosphere,4.0
atoll,12.0
atom,6.0
atomic,6.0
atomizer,12.0
atonal,12.0
atone,13.0
atonement,12.0
atop,8.0
atrabilious,12.0
atrocious,12.0
atrocity,10.0
atrophy,14.0
atropin,14.0
attaboy,8.0
attach,4.0
attache,14.0
attached,8.0
attachment,4.0
attack,4.0
attain,10.0
attainable,8.0
