"word","AoA","Prevalence","concreteness","valence","arousal","dominance"
"alleviate","12","1.96","2.48","6.25","3.45","5.84"
"alley","2","2.19","4.82","4.17","4.08","4.63"
"alleyway","8","1.55","4.3","3.46","3.7","5.2"
"alliance","8","2.25","2.5","6.14","4.4","5.78"
"allied","10","2.18","2.38","5.95","3.38","5.4"
"alligator","2","2.17","4.96","4.23","5.36","4.1"
"allow","2","2.17","2.41","6.39","2.95","6.11"
"allowance","2","2.33","3.07","6.74","4.05","5.7"
"alloy","10","1.91","4.29","5.2","3.32","5.9"
"allure","13","2.04","1.92","6.9","4.25","5.77"
"alluring","10","2.02","2.07","6.74","4.35","5.86"
"ally","12","1.8","2.61","6.05","4.8","6.84"
"almanac","8","1.52","4.44","5.55","3.24","5.88"
"almighty","6","2.43","1.9","6.15","4.59","5.81"
"almond","4","2.32","4.71","6.05","2.89","6.46"
"aloha","6","1.46","2.59","7.1","3.82","6.33"
"alone","2","2.33","2.86","3.85","4","4.5"
"aloof","10","1.97","1.46","4.59","3.09","4.63"
"alpha","10","2.23","1.81","5.5","3.67","6.32"
"alphabet","2","2.34","4.31","5.95","3.15","5.79"
"alphabetical","2","2.16","3.07","6.32","3","6.14"
"alpine","4","2.13","3.7","5.84","3.52","5.74"
"altar","4","2.18","4.85","5.59","4.05","5.68"
"alter","8","2.19","3.07","4.57","4.17","5.57"
"alteration","8","2.43","3.21","5.05","4.05","6.15"
"altercation","14","2.08","3.21","3.61","5.62","4.4"
"alternate","6","2.44","2.43","5.15","3.48","5.2"
"alternative","12","2.58","2.46","5.33","3.61","6.33"
"altitude","6","2.08","2.96","5.27","4.15","5.46"
"aluminum","4","2.08","4.88","5.1","4.05","6"
"amateur","6","2.3","2.31","4.58","3.55","5.25"
"amaze","2","2.33","2","7.24","5","5.83"
"amazement","2","2.19","1.89","7.29","6.3","6.43"
"amazing","2","2.43","1.55","7.72","6.05","6.83"
"ambassador","8","2.17","4.28","5.5","3.91","6.2"
"amber","8","2.58","4.35","6.15","3.36","6.21"
"ambient","14","2.01","2.04","6.33","3.2","4.86"
"ambiguous","12","2.45","1.48","5.16","4","5.12"
"ambition","6","2.58","1.74","7.28","4.86","6.36"
"ambitious","6","2.44","1.81","6.33","5.76","5.88"
"ambulance","4","2.24","4.81","3.71","5.33","3.29"
"ambush","4","2.32","3.16","3.17","5.58","3.96"
"amend","8","1.96","2.32","5.85","3.06","4.96"
"amendment","6","2.31","2.44","5.6","3.5","4.77"
"amends","10","2.34","1.92","6.68","3.95","5.96"
"amiable","12","1.59","2.39","6.7","2.85","6.14"
"ammo","8","1.52","4.85","4.18","5.53","5.52"
"ammonia","8","2.16","4.44","3.74","3","3.83"
"ammunition","6","2.25","4.88","4.59","5.7","5.95"
"amnesia","6","2.35","3.61","3.43","5.04","3.08"
"amnesty","14","2.02","2.18","5.38","3.86","6"
"amount","2","2.19","2.74","5.42","3.53","5.39"
"amp","8","2.02","3.59","5.79","5.05","5.13"
"amphibian","8","2.31","3.77","5.4","3.35","5.42"
"amphibious","12","1.83","3.64","5.75","5.7","4.85"
"ample","8","1.92","2.5","5.89","3.28","6.04"
"amputate","8","2.43","3.9","2.1","5.43","3"
"amputation","8","2.58","3.76","1.84","4.86","2.85"
"amuck","14","0.82","1.68","4","4.41","3.74"
"amulet","13","1.7","4","5.75","3.95","5.79"
"amuse","6","2.44","2.57","7.1","5.17","6.8"
"amusement","4","2.23","2.07","7","4.82","6.59"
"anaconda","10","2","4.93","4.43","6","4.08"
"anagram","13","2.02","3.63","4.37","3.86","4.83"
"anal","12","2.25","3.3","4","4.29","4.45"
"analogy","14","2.23","1.61","5.24","3.95","5.33"
"analysis","8","2.27","2.56","5.25","3.74","5.95"
"analyst","8","2.43","4.23","5","3.24","4.76"
"analyze","6","2.18","2.3","5.65","4.1","5.96"
"anarchist","12","1.89","2.83","2.76","4.16","4.57"
"anarchy","14","2.24","2.12","3.68","4.86","3.1"
"anatomy","6","2.25","3.59","6.29","4.43","5.95"
"ancestor","2","2.18","3.24","6.37","3.73","4.81"
"ancestral","8","2.35","1.96","6.6","3.6","5.05"
"ancestry","8","2.24","2.83","6.29","3.71","4.16"
"anchor","4","2.19","4.77","5.16","3.32","5.29"
"anchorage","8","1.77","3.48","5.09","3.82","5.8"
"ancient","4","2.09","2.04","7.24","3.48","4.86"
"anecdote","12","1.94","2.64","5.62","4.65","6"
"anemia","8","1.66","3.25","3.05","4.09","3.55"
"anemic","8","1.54","2.74","3.45","3.45","3.14"
"anesthetic","10","1.88","3.93","5.48","3.23","4.72"
"aneurysm","14","1.41","3.79","2.5","5.38","2.7"
"angel","2","2.23","3.82","7.71","4.24","5.9"
"angelic","10","2.14","2.22","6.68","4.27","6.32"
"anger","2","2.31","2.41","2.5","5.93","5.14"
"angle","6","2.31","3.5","4.55","3.22","5.27"
"angry","2","2.43","2.53","2.53","6.2","4.11"
"anguish","13","2.11","2.38","3.14","5.41","4.27"
"animal","2","2.44","4.61","7.06","4.3","5.72"
"animation","14","2.58","3.41","6.42","5.52","5.16"
"animosity","13","2.01","2.11","3.4","5.83","5.04"
"ankle","2","2.33","4.81","5.4","3.11","5.58"
"annex","6","1.86","4","4.41","4","5.26"
"annihilate","10","1.7","2.75","3.15","6.44","4.62"
"annihilation","10","1.81","2.69","2.58","5.52","3.2"
"anniversary","4","2.24","3.15","6.95","4","6.86"
"announce","4","2.44","3.31","5.52","3.65","5.48"
"announcement","2","2.44","2.79","5.81","4.3","5.05"
"announcer","2","2.03","4.52","5.84","4.5","4.07"
"annoy","6","2.24","1.93","2.49","5.04","4.64"
"annoyance","8","2.16","2.14","2.95","4.1","3.45"
"annual","4","2.45","1.78","5.19","3.7","4.9"
"annul","13","1.02","2.28","3.83","4.23","4.9"
"anomaly","14","1.79","1.79","4.84","4.25","4.26"
"anonymous","10","2.44","2.03","5.75","4.13","5.48"
"answer","2","2.44","2.89","6.1","4","5.95"
"ant","2","2.1","4.86","3.9","3.27","5.3"
"antagonistic","12","1.82","2.07","4.32","4.11","4.41"
"antagonize","12","2.12","2.43","3.15","4.95","4"
"antelope","4","2.44","5","5.68","4.46","5.57"
"antenna","4","2.43","4.75","5.43","3.15","5.67"
"anterior","14","1.33","3.5","4.89","3.36","4.64"
"anthem","6","2.58","3.36","5.95","4.48","6.29"
"anthrax","14","2.08","4.44","2.32","4.72","2.71"
"anthropology","6","2.13","2.41","5.3","2.91","6"
"anti","6","1.4","2.12","4.47","4.23","5.05"
"antibiotic","10","2.13","4.43","5.88","4.05","5.72"
"anticipate","10","2.42","1.54","6","5.7","5.36"
"anticipation","10","2.24","1.93","5.26","5.39","5.53"
"antics","8","2.01","2.6","3.95","5.1","5.24"
"antidote","10","1.92","3.42","6.55","3.24","6.08"
"antiquated","10","1.84","2.22","5","4.95","4.69"
"antique","6","2.44","3.75","6.5","4","5.79"
"antiseptic","8","2.12","3.85","4.57","3.15","4.77"
"antisocial","8","1.95","1.86","3.21","5.32","5.33"
"anus","12","2.33","4.86","2.9","4.39","4.96"
"anvil","8","1.8","4.96","5.05","4.4","5.38"
"anxiety","8","2.16","2.21","2.38","4.78","3.39"
"anxious","4","2.16","1.68","3.8","6.2","4.15"
"aorta","10","1.44","4.61","4.35","3.64","4.37"
"apache","12","1.75","3.88","5.2","3.7","4.95"
"apartment","2","2.45","4.9","5.72","3.8","5.33"
"apathy","10","1.88","2.04","3.68","3.8","5.15"
"ape","2","2.33","4.79","5.21","4.25","5.38"
"apex","12","1.72","3.41","5.52","3.48","5.17"
"apocalypse","14","1.96","2.21","3.24","5.04","2.65"
"apologetic","6","2.22","1.88","6.65","4","5"
"apologize","4","2.32","2.63","4.94","3.52","4.22"
"apology","4","2.58","2.86","6.24","4","5.1"
"apostle","8","1.69","3.22","5.5","4.38","4.71"
"apothecary","12","1.69","3.76","5.48","4.23","5.35"
"apparatus","10","2.25","3.78","5.5","4","5.14"
"apparel","10","2.05","4.6","5.38","4.3","6.19"
"apparent","6","2.23","1.73","4.96","3.19","6.4"
"apparition","13","1.59","2.46","4.85","4.82","4.38"
"appeal","4","2.24","1.73","6.3","3.57","5.36"
"appear","2","2.25","3.13","5.25","3.24","5.36"
"appearance","4","2.11","2.57","6.14","4.57","5.9"
"appease","12","2.06","1.93","5.95","3.55","5.59"
"appendage","10","2","4.26","4.23","4.35","5.32"
"appendectomy","10","1.79","4.42","2.95","6.14","3.59"
"appendicitis","2","1.89","3.48","1.86","5.12","2.71"
"appendix","4","2.26","4.25","4.81","2.92","4.25"
"appetite","4","2.58","2.74","6.23","5.37","5.57"
"appetizer","6","2.43","4.71","7.29","4.52","6.36"
"appetizing","6","2.16","2.1","7","4.82","6.18"
"applaud","4","2.18","3.8","6.7","5.05","5.91"
"applause","2","2.34","4.29","7.12","5.38","6.56"
"apple","2","2.58","5","6.62","3.52","6.44"
"applesauce","2","1.43","4.96","6.9","2.78","6.39"
"appliance","4","2.43","4.57","5.15","2.84","5"
"applicant","8","2.58","4","4.91","3.96","5.08"
"application","6","2.58","3.4","5.05","4.52","4.3"
"apply","6","2.44","2.5","5.16","3.24","6.2"
"appoint","6","1.94","2.24","5.95","4.25","5.65"
"appointment","4","2.32","3","4.43","4.8","6.68"
"appraisal","12","2.25","3.11","5.09","4.09","5.65"
"appreciate","6","2.58","2.23","7.33","3.1","7"
"appreciation","8","2.33","1.63","7.3","4.68","6.63"
"appreciative","6","1.98","1.93","7.14","4.35","6.9"
"apprehend","8","2.07","2.82","4.14","5.13","4.48"
"apprehension","12","2.34","1.68","4.15","4.23","5.07"
"apprehensive","14","2.44","1.97","3.32","4.77","4.64"
"apprentice","8","2.33","3.67","5.95","3.59","5.05"
"approach","4","2.42","2.74","5.45","4.48","6.03"
"appropriate","8","2.58","2","6.1","4.04","5"
"approval","6","2.43","2.33","6.75","3.52","6.63"
"approve","6","2.31","1.85","7","4.09","7.26"
"approximate","8","2.34","2.03","5.26","3.82","4.95"
"apricot","4","2.19","4.97","5.95","4.29","5.94"
"apron","2","2.44","4.87","5.8","2.9","5.28"
"apt","6","1.94","1.78","5.64","4.05","5.95"
"aptitude","10","2.11","1.54","5.95","4.55","5.45"
"aqua","6","2.08","3.66","6.5","3.6","4.82"
"aquamarine","13","2.33","4.43","6.4","3.9","4.95"
"aquarium","2","2.26","4.77","6.43","4.3","6.14"
"aquatic","10","2.19","3.44","6.8","3.58","4.53"
"arbitrary","13","2.04","1.62","4.15","4.55","4.77"
"arbitration","12","1.66","2","4.09","4.41","4.19"
"arcade","13","2.58","4.74","6.45","6.1","6.81"
"arch","6","2.18","4.59","5.8","3.15","5.45"
"archaeological","12","2.25","2.67","6.05","4.52","5.18"
"archaeology","8","2.34","3.08","6.1","3.86","5.26"
"archaic","14","1.52","2.23","4.5","4.38","4.62"
"archangel","14","1.76","2.93","7.27","4.19","4.79"
"archbishop","6","1.89","4.14","4.71","3.78","4.73"
"archduke","8","1.56","3.93","4.15","3.56","5.73"
"archery","8","2.34","3.93","5.25","4.39","5.73"
"architect","6","2.43","3.74","6.21","3.25","6.05"
"architectural","8","2.27","3.14","6.32","4.05","5.18"
